Zone;Type_Forme;Rack_Id;Position_X;Position_Y;L_x;L_Y;Emplacement
Zone1;R;105M0;5384;2012;120;80;PA
Zone1;R;105M5;4036;1177;270;240;RA
Zone1;R;105N0;4409;1523;259;240;RA
Zone1;R;105N5;4311;1177;270;240;RA
Zone1;R;105P0;4676;1523;250;240;RA
Zone1;R;105P5;4586;1177;270;240;RA
Zone1;R;105Q0;4934;1525;266;240;RA
Zone1;R;105Q5;4861;1177;270;240;RA
Zone1;R;105R0;5245;1511;120;80;PA
Zone1;R;105R0;5370;1511;120;80;PA
Zone1;R;105V0;5555;2159;240;120;RA
Zone1;R;105V0;5800;2159;80;120;PA
Zone1;R;105V1;5885;2159;80;120;PA
Zone1;R;105V2;5970;2159;80;120;PA
Zone1;R;105R5;5137;1177;270;240;RA
Zone1;R;105S5;5413;1177;270;240;RA
Zone1;R;105S6;5688;1310;80;120;PA
Zone1;R;105S6;5688;1177;80;120;RA
Zone1;R;105T0;5250;1595;246;210;RA
Zone1;R;105U0;5250;1801;246;210;RA
